,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
119,21456,Upper West Side,Manhattan,40.797642211221394,-73.96177484377304,2,1.0,1.0,1.0,$140.00,260,76,94.0,9.0,10.0,10.0,10.0,10.0
28547,20204055,Chelsea,Manhattan,40.73895020471084,-73.99970127975466,2,1.0,0.0,1.0,$170.00,348,1,100.0,6.0,8.0,8.0,10.0,8.0
42932,28927290,Concord,Staten Island,40.59934135152827,-74.07836109019243,1,1.0,1.0,1.0,$35.00,354,30,99.0,10.0,10.0,10.0,10.0,10.0
44325,29654969,Ridgewood,Queens,40.69955752232622,-73.9075191098154,1,1.0,1.0,1.0,$30.00,31,2,100.0,8.0,10.0,10.0,10.0,10.0
31292,21647932,Woodside,Queens,40.74302313837009,-73.90497466917293,1,1.0,1.0,1.0,$29.00,163,14,89.0,9.0,9.0,10.0,10.0,9.0
29804,20951141,Harlem,Manhattan,40.8008798832854,-73.95718831990213,4,1.0,2.0,2.0,$345.00,315,44,92.0,10.0,9.0,9.0,9.0,9.0
9756,6822854,Bushwick,Brooklyn,40.69040347090374,-73.91538030854389,2,1.0,1.0,1.0,$45.00,89,24,95.0,9.0,10.0,10.0,9.0,10.0
38336,26000019,Washington Heights,Manhattan,40.83798636537499,-73.94035932543811,2,1.0,1.0,1.0,$50.00,198,25,98.0,10.0,10.0,10.0,9.0,10.0
28528,20193790,Williamsburg,Brooklyn,40.71028673497433,-73.95147789677092,3,1.0,1.0,1.0,$90.00,0,1,80.0,10.0,8.0,8.0,8.0,8.0
30507,21289640,Jamaica,Queens,40.66934097195648,-73.77269002111738,2,1.0,1.0,1.0,$68.00,25,4,60.0,8.0,7.0,7.0,7.0,7.0
596,204833,Williamsburg,Brooklyn,40.70930215605196,-73.9497005578768,2,1.0,1.0,1.0,$100.00,306,8,98.0,10.0,10.0,10.0,10.0,10.0
5516,3627589,Bedford-Stuyvesant,Brooklyn,40.68599455374715,-73.95182117383256,1,3.0,1.0,1.0,$34.00,148,71,93.0,9.0,10.0,10.0,9.0,10.0
1233,482969,Astoria,Queens,40.76833109910042,-73.9235472326954,2,1.0,1.0,1.0,$150.00,363,15,97.0,10.0,10.0,10.0,9.0,9.0
29185,20620144,Lower East Side,Manhattan,40.72048503638571,-73.98701948423991,2,1.0,1.0,1.0,$180.00,16,6,97.0,10.0,10.0,9.0,9.0,10.0
16804,12132772,Longwood,Bronx,40.819276449968434,-73.90932951081021,4,1.5,1.0,3.0,$60.00,365,44,87.0,9.0,9.0,9.0,9.0,9.0
15847,11228611,Springfield Gardens,Queens,40.66274507844224,-73.76390879039158,1,1.0,1.0,1.0,$35.00,356,342,86.0,9.0,9.0,9.0,9.0,9.0
38898,26385398,South Slope,Brooklyn,40.66153506752004,-73.98283025177766,5,1.0,1.0,2.0,$210.00,130,15,100.0,10.0,10.0,10.0,10.0,9.0
9863,6912558,Greenwich Village,Manhattan,40.72985750066754,-73.99611854767029,2,1.0,1.0,1.0,$260.00,0,11,100.0,10.0,10.0,10.0,10.0,10.0
6029,3985673,Chelsea,Manhattan,40.75319054548466,-74.00159407997428,2,1.0,1.0,2.0,$300.00,149,10,98.0,10.0,10.0,10.0,10.0,10.0
19925,14071193,East Village,Manhattan,40.72191401324178,-73.9814081399718,2,1.0,0.0,1.0,$125.00,51,36,96.0,9.0,10.0,10.0,10.0,10.0
8431,5815437,Bedford-Stuyvesant,Brooklyn,40.69006804585866,-73.92898276901076,5,1.0,2.0,2.0,$125.00,64,8,98.0,10.0,10.0,10.0,9.0,10.0
38613,26190785,Belmont,Bronx,40.85608679063143,-73.8839116792302,2,1.0,1.0,1.0,$30.00,0,9,98.0,9.0,10.0,10.0,9.0,10.0
5288,3452721,Williamsburg,Brooklyn,40.72154200383,-73.9544921416029,2,1.0,1.0,1.0,$200.00,0,7,100.0,10.0,10.0,10.0,10.0,10.0
36408,24539964,Midtown,Manhattan,40.75461206193951,-73.96801917477706,4,1.0,2.0,2.0,$328.00,247,45,95.0,10.0,10.0,10.0,10.0,9.0
41572,28054489,Bedford-Stuyvesant,Brooklyn,40.68475891820943,-73.9548003742488,4,1.0,0.0,1.0,$130.00,33,2,90.0,9.0,8.0,10.0,9.0,8.0
22107,15885355,Park Slope,Brooklyn,40.68241283193685,-73.97956503625713,3,1.0,1.0,1.0,$225.00,0,4,93.0,9.0,10.0,10.0,9.0,9.0
19183,13667739,Nolita,Manhattan,40.72240280710484,-73.99604159530861,2,1.0,2.0,1.0,$110.00,0,2,100.0,10.0,10.0,10.0,10.0,10.0
6856,4557370,Inwood,Manhattan,40.86334994322981,-73.92821978415499,2,1.0,0.0,1.0,$75.00,94,5,100.0,9.0,10.0,10.0,9.0,10.0
19683,13923255,Lower East Side,Manhattan,40.72101667388409,-73.9889066207553,2,1.0,1.0,1.0,$95.00,10,13,90.0,9.0,10.0,10.0,10.0,9.0
11076,7750044,Greenpoint,Brooklyn,40.73482501412705,-73.9550882437225,3,1.0,1.0,1.0,$200.00,180,45,98.0,10.0,10.0,10.0,10.0,9.0
39634,26868203,Bedford-Stuyvesant,Brooklyn,40.6907084540408,-73.92919987893947,1,1.0,1.0,1.0,$35.00,55,19,96.0,10.0,10.0,10.0,10.0,9.0
7779,5110541,Upper East Side,Manhattan,40.769958994977806,-73.95874945424117,2,1.0,0.0,1.0,$245.00,0,3,100.0,10.0,10.0,10.0,10.0,10.0
19368,13750812,Flushing,Queens,40.748209749856734,-73.82947652569106,2,1.0,1.0,1.0,$35.00,365,14,95.0,10.0,10.0,10.0,10.0,10.0
1099,413504,Williamsburg,Brooklyn,40.71348009910441,-73.94447125818715,2,1.0,1.0,1.0,$109.00,356,134,98.0,10.0,10.0,10.0,10.0,10.0
